train_number,train_name,from_station_code,departure,to_station_code,arrival,distance,duration_hours,duration_minutes,sleeper,chair_car,first_class,first_ac,second_ac,third_ac,return_train,train_type,total_seats
56210,Mysore_chamrajnagar_passenger,MYS,12:30:00,CMNR,14:20:00,61,1,50,0,0,0,0,0,0,56209,PASS,438
56211,Chamrajnagar_mysore_passenger,CMNR,20:50:00,MYS,22:40:00,61,1,50,0,0,0,0,0,0,56210,PASS,402
56212,Chamrajnagar_passenger,MYS,18:45:00,CMNR,20:35:00,61,1,50,0,0,0,0,0,0,56211,PASS,396
56213,Chamarajanagar_tirupati_fast_passenger,CMNR,15:00:00,TPTY,5:35:00,535,14,35,1,0,1,0,0,0,56214,PASS,490
56214,Tirupati_chamarajanagar_fast_passenger,TPTY,20:55:00,CMNR,12:50:00,535,15,55,1,0,1,0,0,0,56213,PASS,425
56221,Bangalore_tumkur_passenger,SBC,9:20:00,TK,11:05:00,70,1,45,0,0,0,0,0,0,56222,PASS,309
56222,Tumkur_bangalore_passenger,TK,11:20:00,SBC,13:10:00,70,1,50,0,0,0,0,0,0,56221,PASS,388
56223,Bangalore_arisikere_passenger,SBC,18:20:00,ASK,22:45:00,167,4,25,0,0,0,0,0,0,56224,PASS,334
56224,Arisikere_bangalore_passenger,ASK,5:00:00,SBC,9:10:00,167,4,10,0,0,0,0,0,0,56223,PASS,458
56225,Bangalore_tumkur_passenger,SBC,13:40:00,TK,15:25:00,70,1,45,0,0,0,0,0,0,56226,PASS,493
56226,Tumkur_bangalore_passenger,TK,15:50:00,SBC,17:40:00,70,1,50,0,0,0,0,0,0,56225,PASS,421
56227,Bangalore_shimoga_town_passenger,SBC,16:45:00,SMET,23:55:00,276,7,10,0,0,0,0,0,0,56228,PASS,301
56228,Shimoga_bangalore_passenger,SMET,4:00:00,SBC,11:20:00,276,7,20,0,0,0,0,0,0,56227,PASS,358
56229,Mysore_bangalore_passenger,MYS,8:20:00,SBC,12:10:00,137,3,50,0,0,0,0,0,0,56230,PASS,314
56230,Bangalore_mysore_passenger,SBC,16:25:00,MYS,20:05:00,137,3,40,0,0,0,0,0,0,56229,PASS,374
56231,Mysore_bangalore_(push_pull)_passenger,MYS,5:50:00,SBC,9:10:00,137,3,20,0,0,0,0,0,0,56230,PASS,342
56232,Bangalore_mysore_(push_pull)_passenger(shuttle),SBC,9:30:00,MYS,13:35:00,137,4,5,0,0,0,0,0,0,56231,PASS,324
56233,Bangalore_mysore_passenger,SBC,5:15:00,MYS,8:55:00,138,3,40,0,0,0,0,0,0,56234,PASS,388
56234,Mysore_bangalore_passenger,MYS,18:50:00,SBC,22:25:00,138,3,35,0,0,0,0,0,0,56233,PASS,395
56237,Mysore_bangalore_(push_pull)_passenger,MYS,14:25:00,SBC,18:00:00,137,3,35,0,0,0,0,0,0,56238,PASS,303
56238,Bangalore_mysore_(push_pull)_passenger,SBC,19:00:00,MYS,22:40:00,137,3,40,0,0,0,0,0,0,56237,PASS,414
56239,Shimoga_birur_passenger,SMET,8:10:00,RRB,9:55:00,63,1,45,0,0,0,0,0,0,56240,PASS,498
56240,Birur_shimoga_passenger,RRB,17:45:00,SMET,19:35:00,63,1,50,0,0,0,0,0,0,56239,PASS,334
